"type","title","location","bedroom","bathroom","size_sqm","price","contact_person","image_link"
"Villa","Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ù…Ø¯ÙŠÙ†ØªÙŠ ÙÙŠÙ„Ø§ i  ÙÙŠÙˆ Ù…ÙØªÙˆØ­ Ù…ÙˆØ¯Ø±Ù† Ù…ØªØ¨Ù‚ÙŠ Ø§Ù‚Ø³Ø§Ø·.","Madinaty, Cairo","3","3","231","4,500,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ø´Ù‚Ù‡ Ù„Ù‚Ø·Ù‡ Ù„Ù„Ø¨ÙŠØ¹ ØªØ·Ù„ Ø¹Ù„ÙŠ Ù…ÙŠØ¯Ø§Ù† Ø§Ø±Ø¨ÙŠÙ„Ø§ Ø§Ù„ØªØ¬Ù…Ø¹ Ø§Ù„Ø®Ø§Ù…Ø³","Street 15, District 3, The 5th Settlement, New Cairo City, Cairo","3","2","200","2,400,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment"," Ø´Ù‚Ø© 194Ù… ÙÙŠ ÙƒÙ…Ø¨ÙˆÙ†Ø¯SODIC EASTOWNØªØ´Ø·ÙŠØ¨ ÙƒØ§Ù…Ù„ Ø¨Ø§Ù„Ù…Ø·Ø¨Ø®","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3","3","194","1,100,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© 90Ù… Ù…ØªØ´Ø·Ø¨Ø© ÙˆØ¨Ø§Ù„Ø¯Ø±Ø³ÙŠÙ†Ø¬ Ø±ÙˆÙ… ÙˆØ§Ù„Ù…Ø·Ø¨Ø® ÙˆØ¹Ù„ÙŠ 100 Ø´Ù‡Ø±","Monte Napoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","2","2","90","1,600,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ù‡ Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ø³Ø¹Ø± Ø®ÙŠØ§Ù„ÙŠ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ 92 Ù…ØªØ± b6          ","Madinaty, Cairo","2","1","92","1,450,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ø²Ù‡Ø±Ø§Ø¡ Ø§Ù„Ù…Ø¹Ø§Ø¯ÙŠ Ù…Ø´Ø±ÙˆØ¹ Ø¯Ø§Ø±Ù†Ø§ 200Ù… Ø³ Ù„","Darna, Zahraa El Maadi, Hay El Maadi, Cairo","3","3","200","1,700,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","ÙÙŠÙ„Ø§ Ù…Ø³ØªÙ‚Ù„Ù‡ Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ ÙÙŠÙˆ Ø§Ù„Ø¨Ø­ÙŠØ±Ø§Øª","Madinaty, Cairo","4","4","680","16,500,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","With instalment very prime location finished flat","Fifth Square, North Investors Area, New Cairo City, Cairo","3","2","138","2,850,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Duplex","Ù„Ù„Ø¨ÙŠØ¹ Ø¯ÙˆØ¨Ù„ÙƒØ³ ÙÙŠ  Monte Napooleone Ø¨Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„Ù…Ø³ØªÙ‚Ø¨Ù„","Monte Napoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","1","2","151","1,600,000","6285755857115","https://i.pinimg.com/736x/0a/20/bf/0a20bf5cc1bb8f1a05b6e1fd56388b34.jpg"
"Apartment","Ø´Ù‚Ø© Ù…Ù…ÙŠØ²Ø© Ø¯ÙˆØ± Ø«Ø§Ù†ÙŠ ÙÙŠ Ø¨ÙŠØª Ø§Ù„ÙˆØ·Ù† - Ø§Ù„Ù‚Ø§Ù‡Ø±Ø© Ø§Ù„Ø¬Ø¯ÙŠØ¯Ø© ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","3","2","176","1,328,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© Ø§Ø±Ø¶ÙŠ Ø¨ Ø¬Ø§Ø±Ø¯Ù† Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ ÙƒÙ…Ø¨ÙˆÙ†Ø¯ Ù…ÙŠØ¯ ØªØ§ÙˆÙ†","Midtown, South Investors Area, New Cairo City, Cairo","3","3","225","3,500,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","ÙƒÙˆØ¯ Ø±Ù‚Ù… H232 - Ø´Ù‚Ø© Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ø¹Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø¨ÙˆØ±ØµÙ„Ø§Ø­ Ø³Ø§Ù„Ù… ","Salah Salem St., Roxy, Heliopolis - Masr El Gedida, Cairo","3","1","159","0","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","Ø´Ù‚Ø© Ù„Ù„Ø¨ÙŠØ¹ Ù„Ù‡ÙˆØ§Ø© Ø§Ù„Ù…Ø³Ø§Ø­Ø§Øª Ø§Ù„ÙƒØ¨ÙŠØ±Ø© Ø¨Ù…ÙˆÙ‚Ø¹ Ùˆ ÙÙŠÙˆ Ù…Ù…ÙŠØ²","Swan Lake, The 1st Settlement, New Cairo City, Cairo","3","4","387","1,250,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ø§Ø³ØªÙ„Ù… ÙÙŠÙ„Ø§ ÙÙŠ ÙƒÙ…Ø¨ÙˆÙ†Ø¯ Ù†Ø¬ÙŠØ¨ Ø³ÙˆÙŠØ±Ø³ Ø¨Ø¯ÙˆÙ† Ù…Ù‚Ø¯Ù… Ù†Ù‡Ø§Ø¦ÙŠ   ","6th Area East, Shorouk City, Cairo","3","3","300","1,650,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","Ø´Ù‚Ù‡ Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ Ø¨Ø³Ø¹Ø± Ù…Ù…ÙŠØ² 92 Ù…ØªØ± b6","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4","3","230","1,300,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ø´Ù‚Ø© 143Ù… Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ø§Ø±Ù‚Ù‰ Ù…Ø¬Ù…ÙˆØ¹Ø§Øª Ù…Ø¯ÙŠÙ†ØªÙŠ  B8ÙÙŠÙˆ Ø¬Ø§Ø±Ø¯Ù†","Madinaty, Cairo","2","1","92","1,400,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ø§ÙØ¶Ù„ Ù…Ø´Ø§Ø±ÙŠØ¹ Ø§Ù„Ø¹ØµÙ…Ø© oiaØ´Ù‚Ø© 125 Ù…ØªØ±","Madinaty, Cairo","3","2","143","2,850,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© Ù…Ù…ØªØ§Ø²Ø© Ù„Ù„Ø¨ÙŠØ¹ ØªØ´Ø·ÙŠØ¨ Ù…Ù…ÙŠØ² Ø¬Ø¯Ø¢ ÙˆÙ…ÙˆÙ‚Ø¹ Ø¬Ù…ÙŠÙ„ 275Ù…","R7, New Capital City, Cairo","2","2","125","2,000,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ù‡ ÙÙ†Ø¯Ù‚ÙŠÙ‡ Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ù…Ø¯ÙŠÙ†ØªÙŠ Ø¨Ù€ B1 Ø¨Ø¬ÙˆØ§Ø± Open air mall","Nehro St., Roxy, Heliopolis - Masr El Gedida, Cairo","4","3","275","3,500,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","ÙÙŠÙ„Ø§ Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ j  ÙˆØ§ÙŠØ¯ Ø¬Ø§Ø±Ø¯Ù† Ø§Ù…Ø§Ù…ÙŠ Ùˆ Ø®Ù„ÙÙŠ   ","Madinaty, Cairo","3","3","249","0","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","Ø§Ø¯ÙØ¹ 384Ø§Ù„Ù Ùˆ ØªÙ…Ù„Ùƒ Ø´Ù‚Ù‡ Ø¨Ø§Ù„Ù‚Ø§Ù‡Ø±Ù‡ Ø§Ù„Ø¬Ø¯ÙŠØ¯Ù‡ Ø¨Ø§Ù„Ø®Ø¯Ù…Ø§Øª","Madinaty, Cairo","3","3","259","7,500,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ù„Ù„Ø¨ÙŠØ¹ ÙÙ‰ Ù…Ø¯ÙŠÙ†ØªÙ‰ ÙÙŠÙ„Ø§ F3 ÙÙŠÙˆ Ø¬Ø§Ø±Ø¯Ù† Ù…ÙØªÙˆØ­ Ø¨Ø­Ø±Ù‰      ","The brooks, El Katameya Compounds, El Katameya, New Cairo City, Cairo","3","3","192","3,843,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","Ø´Ù‚Ø© Ù„Ù„Ø¨ÙŠØ¹ 116Ù… ÙÙ‰ Ù…Ø¯ÙŠÙ†ØªÙŠ B10 Ø¬Ø§Ø±Ø¯Ù† ÙÙŠÙˆ","Madinaty, Cairo","3","3","200","4,500,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ø´Ù‚Ø© Ù„Ù‚Ø·Ù‡. 116Ù… Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ  B10 ÙÙŠÙˆ Ø±Ø§Ø¦Ø¹ Ø¬Ø§Ø±Ø¯Ù†","Madinaty, Cairo","3","2","116","2,150,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© Ù„Ù‚Ø·Ù‡.. 116Ù… Ù„Ù„Ø¨ÙŠØ¹ ÙÙŠ Ù…Ø¯ÙŠÙ†ØªÙŠ  B10 Ø¨Ø³Ø¹Ø± Ù…Ù…ÙŠØ² Ø¬Ø¯Ø§","Madinaty, Cairo","3","2","116","1,950,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© Ù…ØªØ´Ø·Ø¨Ø© Ø§Ù„ØªØ±Ø§ Ù…ÙˆØ¯Ø±Ù† Ù„Ù„Ø¨ÙŠØ¹ Ø¨ØºØ±Ø¨ Ø§Ù„Ø¬ÙˆÙ„Ù","West Golf, El Katameya Compounds, El Katameya, New Cairo City, Cairo","3","2","230","3,899,999","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Penthouse","Ø±ÙˆÙ Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ø§Ù„Ø²Ù…Ø§Ù„Ùƒ Ù„Ù…ØªØ¹Ø© Ø§Ù„Ø¬Ù…Ø§Ù„ ","Bahgat Ali St. (Ebn Al Nabeh), Zamalek, Cairo","4","3","250","3,150,000","6285755857115","https://i.pinimg.com/736x/64/59/1f/64591fa465f3795230bf69eb3acf327c.jpg"
"Apartment","Ø´Ù‚Ø© Ù„Ù„Ø¨ÙŠØ¹ Ø¨ÙŠØª Ø§Ù„ÙˆØ·Ù† 186Ù… ØªÙ‚Ø³ÙŠØ· 72 Ø´Ù‡Ø± Ø§Ù…Ø§Ù… Ø§Ù„Ù†ÙˆØ§Ø¯Ù‰","New Narges, New Cairo City, Cairo","3","3","186","1,460,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø¨Ø§Ù„Ø±Ø­Ø§Ø¨ Ù„Ù„Ø¨ÙŠØ¹ Ø´Ù‚Ø© 90 Ù…ØªØ± ØªØ´Ø·ÙŠØ¨ Ø®Ø§Øµ Ø¨Ø§Ù„ÙƒØ§Ù…Ù„","Om Kalthoum St., Rehab City Third Phase, Al Rehab, New Cairo City, Cairo","2","1","90","1,700,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ø´Ù‚Ø© 200Ù… Ø§Ø±Ø¶ÙŠ Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ù…Ø¯ÙŠÙ†ØªÙŠ Ø¨Ø­Ø¯ÙŠÙ‚Ø© 70Ù… B8 ÙÙŠÙˆØ¬Ø§Ø±Ø¯Ù†","Madinaty, Cairo","3","3","200","2,000,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","ÙÙŠÙ„Ø§ Ù„Ù„Ø¨ÙŠØ¹ 400 Ù… Ø¨Ø§Ù„ØªÙ‚Ø³ÙŠØ· Ø¨Ø§Ù„ØªØ¬Ù…Ø¹ Ø§Ù„Ø®Ø§Ù…Ø³ Ù‚Ø³Ø· 60Ø´Ù‡Ø±","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","4","2","400","2,978,450","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Ø´Ù‚Ø© 82Ù… Ù„Ù„Ø¨ÙŠØ¹ Ø¨Ø£Ø±Ù‚Ù‰ ÙƒÙ…Ø¨ÙˆÙ†Ø¯ Ø¨Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„Ø´Ø±ÙˆÙ‚","Cleopatra Palace, 5th District, Shorouk City, Cairo","1","1","82","0","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Ù„Ù„Ø¨ÙŠØ¹ Ø´Ù‚Ù‡ 196 Ù…ØªØ± ÙÙ‰ Ù…Ø¯ÙŠÙ†Ù‡ Ø§Ù„Ø±Ø­Ø§Ø¨ Ø¹Ù„Ù‰ ÙˆØ§ÙŠØ¯ Ø¬Ø§Ø±Ø¯Ù†","Ibn Al Haytham St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo","4","3","196","3,200,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
